rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,tracebackMode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,mismatchVsBlockBits,mismatchVsBlockFrames,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,tracebackOperations,ACSCount,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId
R23,-0.5,-0.5,1.3469143081759878,0.65359477124183007,0.56100922715098167,BLOCK_FULL_TRACEBACK,306,1000,24225,800,0.080750000000000002,0.80000000000000004,0.079780425086128037,0.081730311653793297,0.77408103535186545,0.82362290955680151,0,0,58752,1536,60288,306000,39168000,457,233,435,458,337.10899999999981,358.30000000000001,424.10000000000002,1035.0999999999999,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--0.5,STAGE13-REFERENCE
R23,-0.5,-0.5,1.3469143081759878,0.65359477124183007,0.56100922715098167,CONTINUOUS_TRUNCATED_D84,84,1000,24688,824,0.082293333333333329,0.82399999999999995,0.08131529287071898,0.083282071012032138,0.79916968515940578,0.84635057534195435,3617,354,16128,1536,17664,18732000,39168000,124,109.42,125,458,397.56750000000062,417.30000000000001,476.89999999999998,1974.5,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--0.5,STAGE13-REFERENCE
R23,-0.5,-0.5,1.3469143081759878,0.65359477124183007,0.56100922715098167,CONTINUOUS_TRUNCATED_D112,112,1000,24469,805,0.081563333333333335,0.80500000000000005,0.08058928413496208,0.082548098442649265,0.77929577121571003,0.82836990610810157,1432,141,21504,1536,23040,21840000,39168000,166,138.58666666666667,167,458,404.90000000000003,426.60000000000002,480.60000000000002,690.60000000000002,5,2026072001,2026072903,0-999,STAGE13-REFERENCE-R23--0.5,STAGE13-REFERENCE
R23,1.5,1.5,3.3469143081759878,0.65359477124183007,0.35397289219206896,BLOCK_FULL_TRACEBACK,306,8299,1491,200,0.0005988673334136643,0.024099289070972408,0.00056923959591136108,0.00063003616094780245,0.021013456772900931,0.027625489402768225,0,0,58752,1536,60288,2539494,325055232,457,233,435,458,349.20510904928329,364.30000000000001,442.5,11966.9,5,2026072001,2026072903,0-8298,STAGE13-REFERENCE-R23-1.5,STAGE13-REFERENCE
R23,1.5,1.5,3.3469143081759878,0.65359477124183007,0.35397289219206896,CONTINUOUS_TRUNCATED_D84,84,8299,1505,204,0.00060449050086355783,0.024581274852391855,0.00057472055054697858,0.00063580152385957363,0.021463303969598418,0.028139167770141464,18,5,16128,1536,17664,155456868,325055232,124,109.42,125,458,411.63476322448554,424.5,516,2973,5,2026072001,2026072903,0-8298,STAGE13-REFERENCE-R23-1.5,STAGE13-REFERENCE
R23,1.5,1.5,3.3469143081759878,0.65359477124183007,0.35397289219206896,CONTINUOUS_TRUNCATED_D112,112,8299,1491,200,0.0005988673334136643,0.024099289070972408,0.00056923959591136108,0.00063003616094780245,0.021013456772900931,0.027625489402768225,0,0,21504,1536,23040,181250160,325055232,166,138.58666666666667,167,458,425.09943366670853,435.5,531.29999999999995,8238.7000000000007,5,2026072001,2026072903,0-8298,STAGE13-REFERENCE-R23-1.5,STAGE13-REFERENCE
R23,3.5,3.5,5.3469143081759878,0.65359477124183007,0.22334179607548157,BLOCK_FULL_TRACEBACK,306,50000,3,1,1.9999999999999999e-07,2.0000000000000002e-05,6.8018050835858217e-08,5.8807903585242071e-07,3.530499822832098e-06,0.00011328970139120264,0,0,58752,1536,60288,15300000,1958400000,457,233,435,458,338.53863000000052,365.80000000000001,420.39999999999998,2269.8000000000002,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-3.5,STAGE13-REFERENCE
R23,3.5,3.5,5.3469143081759878,0.65359477124183007,0.22334179607548157,CONTINUOUS_TRUNCATED_D84,84,50000,3,1,1.9999999999999999e-07,2.0000000000000002e-05,6.8018050835858217e-08,5.8807903585242071e-07,3.530499822832098e-06,0.00011328970139120264,0,0,16128,1536,17664,936600000,1958400000,124,109.42,125,458,401.95466599999821,426.89999999999998,490.69999999999999,2296.3000000000002,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-3.5,STAGE13-REFERENCE
R23,3.5,3.5,5.3469143081759878,0.65359477124183007,0.22334179607548157,CONTINUOUS_TRUNCATED_D112,112,50000,3,1,1.9999999999999999e-07,2.0000000000000002e-05,6.8018050835858217e-08,5.8807903585242071e-07,3.530499822832098e-06,0.00011328970139120264,0,0,21504,1536,23040,1092000000,1958400000,166,138.58666666666667,167,458,413.58235399999802,437.39999999999998,504.30000000000001,1656.7,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-3.5,STAGE13-REFERENCE
R23,5.5,5.5,7.3469143081759878,0.65359477124183007,0.14091914656322269,BLOCK_FULL_TRACEBACK,306,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,58752,1536,60288,15300000,1958400000,457,233,435,458,340.57598399999841,365.80000000000001,430,1971.5,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-5.5,STAGE13-REFERENCE
R23,5.5,5.5,7.3469143081759878,0.65359477124183007,0.14091914656322269,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,16128,1536,17664,936600000,1958400000,124,109.42,125,458,404.50517799999909,427.80000000000001,500.39999999999998,2556.8000000000002,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-5.5,STAGE13-REFERENCE
R23,5.5,5.5,7.3469143081759878,0.65359477124183007,0.14091914656322269,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,21504,1536,23040,1092000000,1958400000,166,138.58666666666667,167,458,416.01913799999778,438.30000000000001,512.79999999999995,1841.7,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-5.5,STAGE13-REFERENCE
R23,7.5,7.5,9.3469143081759878,0.65359477124183007,0.088913970501946132,BLOCK_FULL_TRACEBACK,306,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,58752,1536,60288,15300000,1958400000,457,233,435,458,331.31864399999552,359.19999999999999,413.30000000000001,1911.3,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-7.5,STAGE13-REFERENCE
R23,7.5,7.5,9.3469143081759878,0.65359477124183007,0.088913970501946132,CONTINUOUS_TRUNCATED_D84,84,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,16128,1536,17664,936600000,1958400000,124,109.42,125,458,393.5015580000005,420.10000000000002,481.80000000000001,1915.5,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-7.5,STAGE13-REFERENCE
R23,7.5,7.5,9.3469143081759878,0.65359477124183007,0.088913970501946132,CONTINUOUS_TRUNCATED_D112,112,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,21504,1536,23040,1092000000,1958400000,166,138.58666666666667,167,458,405.32038000000028,430.89999999999998,494.89999999999998,1811.5,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-7.5,STAGE13-REFERENCE
R23,9.5,9.5,11.346914308175988,0.65359477124183007,0.05610092271509818,BLOCK_FULL_TRACEBACK,306,50000,0,0,0,0,0,2.5609718912715457e-07,0,7.6823274145000517e-05,0,0,58752,1536,60288,15300000,1958400000,457,233,435,458,331.029222,358.80000000000001,407.10000000000002,1899.8,5,2026072001,2026072903,0-49999,STAGE13-REFERENCE-R23-9.5,STAGE13-REFERENCE
