channelType,profileId,caseName,snrDb,miscorrectionRate,decoderFailureRate
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,5.9618513565547095,0.8785,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,6.16185135655471,0.86825,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,6.36185135655471,0.8544,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,6.561851356554709,0.8378,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,6.76185135655471,0.82895,0.0
CFO_60_NO_COMPENSATION,CFO_60,BCH-S200,6.9618513565547095,0.8138,0.0
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,2.565783148377649,0.00085,0.94435
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,2.765783148377649,0.001,0.91965
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,2.965783148377649,0.0007,0.896
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,3.1657831483776486,0.0012,0.86915
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,3.365783148377649,0.00085,0.841
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,3.565783148377649,0.00075,0.8216
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,3.765783148377649,0.0008,0.79705
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,3.9657831483776493,0.00095,0.78165
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,4.165783148377649,0.0013,0.76855
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,4.365783148377649,0.00065,0.76035
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,4.565783148377649,0.000644108553761594,0.652052559257987
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,4.76578314837765,0.0005183025591188856,0.49193391642371237
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,4.96578314837765,0.000260119655041319,0.30387978470096244
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,5.165783148377649,0.00027692307692307695,0.2328
CFO_30_NO_COMPENSATION,CFO_30,BCH-B200,5.365783148377649,0.00027692307692307695,0.23126153846153846
CFO_60_NO_COMPENSATION,CFO_60,BCH-B200,2.565783148377649,0.00115,0.9983
CFO_60_NO_COMPENSATION,CFO_60,BCH-B200,2.765783148377649,0.00085,0.9977
CFO_60_NO_COMPENSATION,CFO_60,BCH-B200,2.965783148377649,0.0011,0.9969
CFO_60_NO_COMPENSATION,CFO_60,BCH-B200,3.1657831483776486,0.0009,0.99525
CFO_60_NO_COMPENSATION,CFO_60,BCH-B200,3.365783148377649,0.001,0.99245
CFO_60_NO_COMPENSATION,CFO_60,BCH-B200,3.565783148377649,0.00115,0.9879
