messageIndex,errorPosition,receivedBits,syndromeBefore,syndromeAfter,lookupHit,correctedPosition,status,correctedCodeword,decodedMessage
16,1,010000100000101,1101,0000,true,1,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,2,001000100000101,1111,0000,true,2,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,3,000100100000101,1110,0000,true,3,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,4,000010100000101,0111,0000,true,4,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,5,000001100000101,1010,0000,true,5,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,6,000000000000101,0101,0000,true,6,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,7,000000110000101,1011,0000,true,7,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,8,000000101000101,1100,0000,true,8,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,9,000000100100101,0110,0000,true,9,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,10,000000100010101,0011,0000,true,10,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,11,000000100001101,1000,0000,true,11,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,12,000000100000001,0100,0000,true,12,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,13,000000100000111,0010,0000,true,13,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
16,14,000000100000100,0001,0000,true,14,CORRECTED_SINGLE_ERROR,000000100000101,00000010000
17,0,100000100010110,1001,0000,true,0,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,1,010000100010110,1101,0000,true,1,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,2,001000100010110,1111,0000,true,2,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,3,000100100010110,1110,0000,true,3,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,4,000010100010110,0111,0000,true,4,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,5,000001100010110,1010,0000,true,5,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,6,000000000010110,0101,0000,true,6,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,7,000000110010110,1011,0000,true,7,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
