actualLength,esN0Db,algorithm,sigmaSquared,expectedSigmaSquared,sigmaMatch,ebN0Db,expectedEbN0Db,ebN0Match,status
480,-1.0,DIRECT_LAYERED_SPA_BP,0.6294627058970836,0.6294627058970836,True,1.041199826559248,1.041199826559248,True,PASS
480,-0.5,DIRECT_LAYERED_NMS,0.5610092271509817,0.5610092271509817,True,1.541199826559248,1.541199826559248,True,PASS
480,-0.5,DIRECT_LAYERED_SPA_BP,0.5610092271509817,0.5610092271509817,True,1.541199826559248,1.541199826559248,True,PASS
480,0.0,DIRECT_LAYERED_NMS,0.5,0.5,True,2.041199826559248,2.041199826559248,True,PASS
480,0.0,DIRECT_LAYERED_SPA_BP,0.5,0.5,True,2.041199826559248,2.041199826559248,True,PASS
480,0.5,DIRECT_LAYERED_NMS,0.4456254690668728,0.4456254690668728,True,2.541199826559248,2.541199826559248,True,PASS
480,0.5,DIRECT_LAYERED_SPA_BP,0.4456254690668728,0.4456254690668728,True,2.541199826559248,2.541199826559248,True,PASS
480,1.0,DIRECT_LAYERED_NMS,0.39716411736214075,0.39716411736214075,True,3.041199826559248,3.041199826559248,True,PASS
480,1.0,DIRECT_LAYERED_SPA_BP,0.39716411736214075,0.39716411736214075,True,3.041199826559248,3.041199826559248,True,PASS
480,1.5,DIRECT_LAYERED_NMS,0.35397289219206896,0.35397289219206896,True,3.541199826559248,3.541199826559248,True,PASS
480,1.5,DIRECT_LAYERED_SPA_BP,0.35397289219206896,0.35397289219206896,True,3.541199826559248,3.541199826559248,True,PASS
480,2.0,DIRECT_LAYERED_NMS,0.3154786722400966,0.3154786722400966,True,4.041199826559248,4.041199826559248,True,PASS
480,2.0,DIRECT_LAYERED_SPA_BP,0.3154786722400966,0.3154786722400966,True,4.041199826559248,4.041199826559248,True,PASS
480,2.5,DIRECT_LAYERED_NMS,0.28117066259517454,0.28117066259517454,True,4.541199826559248,4.541199826559248,True,PASS
480,2.5,DIRECT_LAYERED_SPA_BP,0.28117066259517454,0.28117066259517454,True,4.541199826559248,4.541199826559248,True,PASS
480,3.0,DIRECT_LAYERED_NMS,0.2505936168136362,0.2505936168136362,True,5.041199826559248,5.041199826559248,True,PASS
480,3.0,DIRECT_LAYERED_SPA_BP,0.2505936168136362,0.2505936168136362,True,5.041199826559248,5.041199826559248,True,PASS
480,3.5,DIRECT_LAYERED_NMS,0.22334179607548157,0.22334179607548157,True,5.541199826559248,5.541199826559248,True,PASS
480,3.5,DIRECT_LAYERED_SPA_BP,0.22334179607548157,0.22334179607548157,True,5.541199826559248,5.541199826559248,True,PASS
480,4.0,DIRECT_LAYERED_NMS,0.19905358527674863,0.19905358527674863,True,6.041199826559248,6.041199826559248,True,PASS
480,4.0,DIRECT_LAYERED_SPA_BP,0.19905358527674863,0.19905358527674863,True,6.041199826559248,6.041199826559248,True,PASS
480,4.5,DIRECT_LAYERED_NMS,0.17740669461678774,0.17740669461678774,True,6.541199826559248,6.541199826559248,True,PASS
480,4.5,DIRECT_LAYERED_SPA_BP,0.17740669461678774,0.17740669461678774,True,6.541199826559248,6.541199826559248,True,PASS
480,5.0,DIRECT_LAYERED_NMS,0.15811388300841897,0.15811388300841897,True,7.041199826559248,7.041199826559248,True,PASS
480,5.0,DIRECT_LAYERED_SPA_BP,0.15811388300841897,0.15811388300841897,True,7.041199826559248,7.041199826559248,True,PASS
480,5.5,DIRECT_LAYERED_NMS,0.14091914656322269,0.14091914656322269,True,7.541199826559248,7.541199826559248,True,PASS
480,5.5,DIRECT_LAYERED_SPA_BP,0.14091914656322269,0.14091914656322269,True,7.541199826559248,7.541199826559248,True,PASS
480,6.0,DIRECT_LAYERED_NMS,0.125594321575479,0.125594321575479,True,8.041199826559248,8.041199826559248,True,PASS
480,6.0,DIRECT_LAYERED_SPA_BP,0.125594321575479,0.125594321575479,True,8.041199826559248,8.041199826559248,True,PASS
480,6.5,DIRECT_LAYERED_NMS,0.11193605692841696,0.11193605692841696,True,8.541199826559248,8.541199826559248,True,PASS
480,6.5,DIRECT_LAYERED_SPA_BP,0.11193605692841696,0.11193605692841696,True,8.541199826559248,8.541199826559248,True,PASS
480,7.0,DIRECT_LAYERED_NMS,0.099763115748444,0.099763115748444,True,9.041199826559248,9.041199826559248,True,PASS
480,7.0,DIRECT_LAYERED_SPA_BP,0.099763115748444,0.099763115748444,True,9.041199826559248,9.041199826559248,True,PASS
