figureName,caseId,seriesLabel,payloadGroup,codeType,configuration,configurationId,snrIndex,snr,derivedEbN0Db,actualRate,ber,fer,payloadErrorBits,payloadBitsProcessed,payloadErrorFrames,framesProcessed,sourceBer,sourceFer,plotMetric,plotValue,zeroRemovedForPublication
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,14,7,8.5381486434452896,0.70175438596491224,0.0013981319322825452,0.11675423234092236,479,342600,200,1713,0.0013981319322825452,0.11675423234092236,FER,0.11675423234092236,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,15,7.5,9.0381486434452896,0.70175438596491224,0.00078561917443408793,0.066577896138482029,472,600800,200,3004,0.00078561917443408793,0.066577896138482029,FER,0.066577896138482029,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,16,8,9.5381486434452896,0.70175438596491224,0.0003610397946084724,0.032092426187419767,450,1246400,200,6232,0.0003610397946084724,0.032092426187419767,FER,0.032092426187419767,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,17,8.5,10.03814864344529,0.70175438596491224,0.00015727484307779109,0.014105367092178574,446,2835800,200,14179,0.00015727484307779109,0.014105367092178574,FER,0.014105367092178574,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,18,9,10.53814864344529,0.70175438596491224,6.042550799584048e-05,0.0056209774879851611,430,7116200,200,35581,6.042550799584048e-05,0.0056209774879851611,FER,0.0056209774879851611,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,19,9.5,11.03814864344529,0.70175438596491224,2.0000000000000002e-05,0.0019599999999999999,200,10000000,98,50000,2.0000000000000002e-05,0.0019599999999999999,FER,0.0019599999999999999,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,20,10,11.53814864344529,0.70175438596491224,5.4999999999999999e-06,0.00048000000000000001,55,10000000,24,50000,5.4999999999999999e-06,0.00048000000000000001,FER,0.00048000000000000001,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,21,10.5,12.03814864344529,0.70175438596491224,1.9e-06,0.00018000000000000001,19,10000000,9,50000,1.9e-06,0.00018000000000000001,FER,0.00018000000000000001,false
s16_nm_k200_fer_overview,K200_S15,分块-交织突发,200,分块,交织突发,BEST_LREP,22,11,12.53814864344529,0.70175438596491224,1.9999999999999999e-07,2.0000000000000002e-05,2,10000000,1,50000,1.9999999999999999e-07,2.0000000000000002e-05,FER,2.0000000000000002e-05,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,0,0,0.93421685162235091,0.80645161290322576,0.078475000000000003,0.998,15695,200000,998,1000,0.078475000000000003,0.998,FER,0.998,false
