phase,caseId,snrDb,ebN0Db,actualRate,sigmaSquared,N_transmitted,framesProcessed,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason
smoke,CC-B-R34-H,-1,0.33538908370217468,0.73529411764705888,0.62946270589708364,408,60,7230,60,0.40166666666666667,1,0,5.7633333333333319,6.5999999999999996,418.34666666666658,749.10000000000002,1948.3,0.71710861805201442,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R34-S,-1,0.33538908370217468,0.73529411764705888,0.62946270589708364,408,60,5164,60,0.28688888888888892,1,0,5.7633333333333319,6.5999999999999996,525.38166666666655,940.79999999999995,1907.9000000000001,0.57101345371142898,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R34-H,0,1.3353890837021747,0.73529411764705888,0.5,408,60,5828,60,0.32377777777777778,1,0,5.8066666666666666,9.6999999999999993,383.33666666666676,701.5,1143.8,0.78260189041834405,0,0,TARGET_ERRORS_REACHED
smoke,CC-B-R34-S,0,1.3353890837021747,0.73529411764705888,0.5,408,60,2821,56,0.15672222222222223,0.93333333333333335,0.066666666666666652,5.8066666666666666,9.6999999999999993,489.82166666666672,927,1347,0.61246780290786096,0.040831186860524053,0.049019607843137247,TARGET_ERRORS_REACHED
smoke,CC-B-R34-H,1,2.3353890837021747,0.73529411764705888,0.39716411736214075,408,60,3279,58,0.18216666666666667,0.96666666666666667,0.033333333333333326,5.8199999999999985,8.1999999999999993,403.93666666666667,834.70000000000005,1578.3,0.74269068583358777,0.024756356194452919,0.024509803921568624,TARGET_ERRORS_REACHED
smoke,CC-B-R34-S,1,2.3353890837021747,0.73529411764705888,0.39716411736214075,408,60,573,27,0.031833333333333332,0.45000000000000001,0.55000000000000004,5.8199999999999985,8.1999999999999993,538.51333333333332,1018.4,2402.8000000000002,0.55708927046065093,0.30639909875335802,0.40441176470588241,TARGET_ERRORS_REACHED
smoke,CC-B-R34-H,2,3.3353890837021747,0.73529411764705888,0.31547867224009662,408,60,1216,41,0.067555555555555549,0.68333333333333335,0.31666666666666665,6.2600000000000007,22.699999999999999,416.80000000000007,797.79999999999995,1716.9000000000001,0.71976967370441447,0.22792706333973123,0.23284313725490197,TARGET_ERRORS_REACHED
smoke,CC-B-R34-S,2,3.3353890837021747,0.73529411764705888,0.31547867224009662,408,60,28,3,0.0015555555555555555,0.050000000000000003,0.94999999999999996,6.2600000000000007,22.699999999999999,447.87333333333316,737.5,1069.4000000000001,0.66983224423572163,0.63634063202393554,0.69852941176470595,TARGET_ERRORS_REACHED
smoke,CC-B-R34-H,3,4.3353890837021751,0.73529411764705888,0.25059361681363618,408,60,217,18,0.012055555555555555,0.29999999999999999,0.69999999999999996,6.5200000000000005,52.299999999999997,376.0150000000001,674.10000000000002,936.39999999999998,0.79784051168171466,0.55848835817720022,0.51470588235294124,TARGET_ERRORS_REACHED
smoke,CC-B-R34-S,3,4.3353890837021751,0.73529411764705888,0.25059361681363618,408,60,0,0,0,0,1,6.5200000000000005,52.299999999999997,504.0200000000001,1033.0999999999999,1732.4000000000001,0.5952144756160469,0.5952144756160469,0.73529411764705888,TARGET_ERRORS_REACHED
smoke,CC-B-R34-H,4,5.3353890837021751,0.73529411764705888,0.19905358527674863,408,60,27,4,0.0015,0.066666666666666666,0.93333333333333335,7.5250000000000021,107.09999999999999,346.54666666666674,515.29999999999995,619,0.86568427532607428,0.80797199030433597,0.68627450980392157,TARGET_ERRORS_REACHED
smoke,CC-B-R34-S,4,5.3353890837021751,0.73529411764705888,0.19905358527674863,408,60,0,0,0,0,1,7.5250000000000021,107.09999999999999,449.62,578.29999999999995,776.10000000000002,0.66723010542235661,0.66723010542235661,0.73529411764705888,TARGET_ERRORS_REACHED
