caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B300-426,4.4000000000000004,-12,0,64,UNIFORM_RANDOM,5000,1500000,103978,4994,0.06931866666666667,0.9988,RAW_COUNTS,BCH-B300-426 / -12,BCH-B300-426|-12|#ff7f0e|-|v,true,
BCH-B300-426,4.4000000000000004,-20,0,1,UNIFORM_RANDOM,5000,1500000,7085,617,0.004723333333333334,0.1234,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,2,UNIFORM_RANDOM,5000,1500000,8566,737,0.005710666666666667,0.1474,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,4,UNIFORM_RANDOM,5000,1500000,12442,1065,0.008294666666666667,0.213,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,6,UNIFORM_RANDOM,5000,1500000,17072,1441,0.011381333333333334,0.2882,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,8,UNIFORM_RANDOM,5000,1500000,22552,1870,0.015034666666666667,0.374,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,10,UNIFORM_RANDOM,5000,1500000,28534,2340,0.019022666666666667,0.468,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,12,UNIFORM_RANDOM,5000,1500000,34471,2776,0.022980666666666667,0.5552,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,14,UNIFORM_RANDOM,5000,1500000,40454,3188,0.026969333333333335,0.6376,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,15,UNIFORM_RANDOM,5000,1500000,43807,3408,0.029204666666666667,0.6816,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,16,UNIFORM_RANDOM,5000,1500000,46806,3570,0.031204,0.714,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,20,UNIFORM_RANDOM,5000,1500000,57944,4200,0.038629333333333335,0.84,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,24,UNIFORM_RANDOM,5000,1500000,66983,4600,0.04465533333333333,0.92,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,29,UNIFORM_RANDOM,5000,1500000,75848,4845,0.05056533333333333,0.969,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,30,UNIFORM_RANDOM,5000,1500000,77962,4873,0.05197466666666667,0.9746,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,31,UNIFORM_RANDOM,5000,1500000,79421,4904,0.05294733333333333,0.9808,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,32,UNIFORM_RANDOM,5000,1500000,80940,4921,0.05396,0.9842,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,48,UNIFORM_RANDOM,5000,1500000,105925,4998,0.07061666666666666,0.9996,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-B300-426,4.4000000000000004,-20,0,64,UNIFORM_RANDOM,5000,1500000,130535,5000,0.08702333333333333,1.0,RAW_COUNTS,BCH-B300-426 / -20,BCH-B300-426|-20|#ff7f0e|--|v,true,
BCH-S200,6.2999999999999998,-12,0,1,UNIFORM_RANDOM,5000,1000000,1287,544,0.001287,0.1088,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,2,UNIFORM_RANDOM,5000,1000000,2230,911,0.00223,0.1822,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,4,UNIFORM_RANDOM,5000,1000000,4463,1754,0.004463,0.3508,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,6,UNIFORM_RANDOM,5000,1000000,7342,2678,0.007342,0.5356,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,8,UNIFORM_RANDOM,5000,1000000,9496,3272,0.009496,0.6544,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,10,UNIFORM_RANDOM,5000,1000000,11672,3764,0.011672,0.7528,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,12,UNIFORM_RANDOM,5000,1000000,14014,4159,0.014014,0.8318,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
